,tower,lat,lon,orbit,scene,tile,time_UTC,date_UTC,time_solar,BESSinst,ESI,ESIdaily,ESIdailyUncertainty,ETdaily,ETdailyUncertainty,ETinstUncertainty,EmisWB,GPP,LST,LST_err,MOD16inst,NDVI-UQ,PET,PTJPLSMcanopy,PTJPLSMinst,PTJPLSMinterception,PTJPLSMsoil,RH,Rg,Rn,SM,STICcanopy,STICinst,Ta,WUE,albedo-UQ,height,radiance_1,radiance_2,radiance_3,radiance_4,radiance_5,view_zenith,year,Ta_C,ST_K,NDVI,albedo,ST_C
1145,US-Ha2,42.5393,-72.1779,9254,9,18TYN,2/22/20 16:51,2/22/20,02:25.3,112.87177,0.99999994,,,0.9437895,,93.748764,0.972,6.4226155,274.04,0.64,313.85596,,123.32103,0,123.32102,0.8497281,0.15027189,1,413.74875,314.12592,0.2840934,0,71.09868,-2.5125194,0,,344.78705,,5.415923,,6.1273494,5.9044566,6.19539,2020,-2.5125194,274.04,0.7163455,0.027716992,0.89
1175,US-Ha2,42.5393,-72.1779,10150,9,18TYN,4/20/20 11:54,4/20/20,05:59.3,0,0,1,0.00252,0.005,0.025199998,0,0.94,5.264951,308.54,0.84,0,,0,0,0,0,0,0.6304005,181.66818,0,0.28666002,0,0,4.8228507,0,,343.32736,,10.12103,,9.864844,9.096849,28.344906,2020,4.8228507,308.54,0.7082878,0.0364383,35.39
1181,US-Ha2,42.5393,-72.1779,10352,9,18TYN,5/3/20 12:53,5/3/20,05:03.3,40.53043,0.9292676,,,0.71864605,,9.856022,0.966,6.9670157,286.32,1.48,61.88599,,39.366978,0.43428555,36.44086,0.40901783,0.14989524,0.8149739,148.45378,61.981674,0.276035,0.38111606,46.453644,11.62933,0,,344.5768,,6.7777114,,7.4581895,6.885617,1.1620464,2020,11.62933,286.32,0.73797673,0.07705091,13.17
1189,US-Ha2,42.5393,-72.1779,10684,7,18TYN,5/24/20 22:33,5/24/20,45:06.3,,,,,,,,0.978,,288.76,1.4,,,,,,,,,,,,,,,,,343.73755,,7.2399426,,7.8334427,7.2160645,2.5339785,2020,,288.76,0.814637,0.08179149,15.61
1201,US-Ha2,42.5393,-72.1779,11069,8,18TYN,6/18/20 18:47,6/18/20,59:08.3,300.98196,0.79822886,1,0.006,5.2757643,0.06,107.855194,0.974,35.481125,301.18,2,570.12616,,492.40936,0.87300617,392.2633,0.11888072,0.007476151,0.5566634,728.1823,571.15875,0.1465698,0.8101111,309.87787,26.243547,0,,342.3835,,8.72701,,9.1975565,8.165065,19.196161,2020,26.243547,301.18,0.90029097,0.115091234,28.03
1203,US-Ha2,42.5393,-72.1779,11084,9,18TYN,6/19/20 18:00,6/19/20,11:19.3,365.27325,0.81606174,1,0.00528,2.431294,0.0528,235.27469,0.948,38.60171,297.76,1.76,659.4489,,571.0416,0.8796811,466.10544,0.10843119,0.011887695,0.54709166,798.3768,660.68384,0.18505152,0,3.7182782,26.553339,0,,341.69525,,8.434319,,8.843798,7.838355,19.875446,2020,26.553339,297.76,0.90262717,0.12387139,24.61
1205,US-Ha2,42.5393,-72.1779,11111,7,18TYN,6/21/20 11:31,6/21/20,42:58.3,138.62682,0.9154473,1,0.00588,5.13012635,0.0588,16.326181,0.968,16.931982,294.22,1.96,156.84442,,124.36382,0.35426044,114.34515,0.6320001,0.011935064,0.87469935,248.2745,157.00851,0.19521125,0.15400438,145.43298,19.946375,0,,344.604,,7.863628,,8.406895,7.7006407,15.823526,2020,19.946375,294.22,0.9041179,0.13302732,21.07
1207,US-Ha2,42.5393,-72.1779,11130,8,18TYN,6/22/20 17:13,6/22/20,24:27.3,12.111602,0.8234355,1,0.00756,6.23573825,0.0756,234.34837,0.946,3.9012663,305.66,2.52,652.9692,,571.39923,0.8343489,470.09558,0.14022923,0.023921145,0.587686,771.492,654.3392,0.18328612,0.57633615,336.7129,27.537062,0,,344.2863,,8.756077,,9.173039,8.056535,17.22896,2020,27.537062,305.66,0.88128084,0.052665044,32.51
1209,US-Ha2,42.5393,-72.1779,11145,9,18TYN,6/23/20 16:25,6/23/20,36:26.3,107.70536,0.821223,1,0.00636,5.14191615,0.063599996,285.60895,0.942,10.844273,297.84,2.12,715.09717,,631.38635,0.8558444,516.838,0.1264963,0.017554061,0.569815,802.90924,716.419,0.18793055,0.6149009,19.285522,27.807955,0,,343.54108,,8.359377,,8.883454,7.732497,21.534407,2020,27.807955,297.84,0.89397,0.07113754,24.69
1211,US-Ha2,42.5393,-72.1779,11172,9,18TYN,6/25/20 09:57,6/25/20,08:19.3,,,,,,,,0.958,,283.26,1.56,,,,,,,,,,,,,,,,,344.43027,,6.6690335,,7.28428,6.740984,17.824997,2020,,283.26,0.9051902,0.10961254,10.11
1216,US-Ha2,42.5393,-72.1779,11313,8,18TYN,7/4/20 12:28,7/4/20,40:06.3,236.96555,0.88214296,1,0.00516,3.7621635,0.051599998,48.970062,0.962,19.33725,290.66,1.72,325.24744,,249.06741,0.5570273,219.71307,0.41099745,0.029636104,0.78104734,431.70758,325.73227,0.21438378,0.11800835,317.2344,18.707645,0,,345.04053,,7.517952,,8.071396,7.339207,11.231974,2020,18.707645,290.66,0.88104045,0.12842523,17.51
1227,US-Ha2,42.5393,-72.1779,11645,7,18TYN,7/25/20 22:08,7/25/20,19:28.3,144.50807,0.81439555,1,0.00492,5.9054467,0.0492,28.03661,0.966,15.199834,297.34,1.64,165.6629,,143.2915,0.8529302,116.69596,0.13823767,0.010313977,0.5812217,245.95763,165.79764,0.17234899,0.9023444,91.346664,26.107592,0,,343.54968,,8.45647,,8.966947,8.02363,7.5987687,2020,26.107592,297.34,0.9024982,0.13480766,24.19
1228,US-Ha2,42.5393,-72.1779,11645,7,18TYN,7/25/20 22:08,7/25/20,19:28.3,144.50807,0.81439555,1,0.00492,5.9054467,0.0492,28.03661,0.966,15.199834,297.34,1.64,165.6629,,143.2915,0.8529302,116.69596,0.13823767,0.010313977,0.5812217,245.95763,165.79764,0.17234899,0.9023444,91.346664,26.107592,0,,343.54968,,8.45647,,8.966947,8.02363,7.5987687,2020,26.107592,297.34,0.9024982,0.13480766,24.19
1234,US-Ha2,42.5393,-72.1779,11706,7,18TYN,7/29/20 20:33,7/29/20,44:37.3,21.763159,0.7901458,1,0.00636,3.84130205,0.063599996,114.17287,0.964,2.7176647,300.18,2.12,333.08273,,294.00842,0.88866913,232.72806,0.10666265,0.00445547,0.5400661,441.8817,333.59293,0.13617004,0.8463802,227.00558,27.96613,0,,344.74384,,8.599213,,9.070973,7.9363494,5.523331,2020,27.96613,300.18,0.9033745,0.13086593,27.03
1245,US-Ha2,42.5393,-72.1779,11862,11,18TYN,8/8/20 22:21,8/8/20,32:21.3,,,,,,,,0.966,,296.1,1.92,,,,,,,,,,,,,,,,,344.84042,,8.163058,,8.680453,7.7689753,1.2882493,2020,,296.1,0.93332154,0.11703958,22.95
1255,US-Ha2,42.5393,-72.1779,11889,9,18TYN,8/10/20 15:53,8/10/20,04:26.3,105.912796,0.80285054,1,0.00624,6.00117225,0.062399995,194.45526,0.926,9.147849,292.78,2.08,646.64105,,568.1375,0.8412701,454.99124,0.15859672,0,0.5968108,731.5279,647.64734,0.1458395,0,402.11765,26.975048,0,,344.49683,,7.738635,,8.386946,7.389204,4.805344,2020,26.975048,292.78,0.93164396,0.11922149,19.63
1264,US-Ha2,42.5393,-72.1779,12045,8,18TYN,8/20/20 17:39,8/20/20,51:07.3,294.6671,0.80120033,1,0.00408,4.2659791,0.040799998,199.98715,0.97,30.083788,292,1.36,565.0575,,459.1623,0.9340877,367.53885,0.0586682,0.006028839,0.46708077,736.5718,565.97754,0.15968221,0,8.159693,21.867529,0,,344.65482,,7.6579275,,8.258035,7.487427,2.2289126,2020,21.867529,292,0.90833116,0.1508014,18.85
1271,US-Ha2,42.5393,-72.1779,12167,9,18TYN,8/28/20 14:32,8/28/20,44:13.3,295.30405,0.7853454,1,0.0042,4.08159625,0.042,79.133095,0.954,25.186275,291.24,1.4,476.4203,,383.43073,0.81268513,302.2213,0.17937942,0.008522591,0.6157341,616.1047,477.12103,0.12904672,0.6634466,314.4463,21.726105,0,,342.65668,,7.5619507,,8.176126,7.3050246,3.6893504,2020,21.726105,291.24,0.8907377,0.16688636,18.09
1278,US-Ha2,42.5393,-72.1779,12743,9,18TYN,10/4/20 18:08,10/4/20,20:00.3,124.33132,0.770077,,,1.5604949,,115.33945,0.938,15.32677,284.64,1.28,380.35138,,279.4115,0.9538061,215.13716,0.034458645,0.011794937,0.40982836,441.51483,381.0233,0.12254296,0.6530081,82.33028,17.141027,0,,344.83676,,6.6238923,,7.260374,6.272776,9.413753,2020,17.141027,284.64,0.83036953,0.032843072,11.49
1280,US-Ha2,42.5393,-72.1779,12758,8,18TYN,10/5/20 17:21,10/5/20,32:51.3,222.56302,0.78186953,1,0.0042,3.3169721,0.042,109.390594,0.966,17.556622,288.4,1.4,518.0882,,387.86874,0.92213583,303.35175,0.049222004,0.026832396,0.4513983,600.37415,519.1167,0.13783805,0.8223837,383.82672,18.44303,0,,345.7596,,7.0810695,,7.705423,6.951297,28.585787,2020,18.44303,288.4,0.81862456,0.03284198,15.25
1282,US-Ha2,42.5393,-72.1779,12804,9,18TYN,10/8/20 16:35,10/8/20,47:01.3,133.37726,0.7482561,1,0.00252,3.3159287,0.025199998,134.81564,0.978,13.71339,284.42,0.84,492.44537,,340.21274,0.97360355,254.56625,0.024214257,0.002182185,0.37488574,622.2808,493.41302,0.101332396,0.84003353,375.64566,14.619561,0,,343.6724,,6.745552,,7.360841,6.878972,10.191639,2020,14.619561,284.42,0.7968255,0.08952055,11.27
1284,US-Ha2,42.5393,-72.1779,12819,7,18TYN,10/9/20 15:48,10/9/20,59:35.3,129.38638,0.7688677,,,2.1552985,,118.74164,0.97,14.935748,284.54,1,455.3086,,296.22137,0.9640245,226.31848,0.029999595,0.005975936,0.3949692,585.8916,456.1176,0.11657277,0.7654815,272.37784,11.517312,0,,344.81958,,6.6196666,,7.2974296,6.8732085,28.575914,2020,11.517312,284.54,0.8425282,0.07297123,11.39
1286,US-Ha2,42.5393,-72.1779,12838,9,18TYN,10/10/20 21:29,10/10/20,41:12.3,,,,,,,,0.972,,291.46,1.6,,,,,,,,,,,,,,,,,343.22705,,7.632049,,8.219862,7.489494,3.940314,2020,,291.46,0.80582994,0.08379275,18.31
1297,US-Ha2,42.5393,-72.1779,13021,9,18TYN,10/22/20 16:47,10/22/20,58:45.3,206.83214,0.80586666,,,1.7121899,,68.4537,0.962,15.216166,292.48,1.8,363.00983,,278.30136,0.8105186,223.98094,0.10322705,0.08624304,0.55625564,478.747,363.82547,0.15760261,0.81328386,195.25851,21.242327,0,,343.37445,,7.6242228,,8.177638,7.314168,3.481112,2020,21.242327,292.48,0.73806614,0.12304779,19.33
1304,US-Ha2,42.5393,-72.1779,13597,9,18TYN,11/28/20 20:15,11/28/20,26:19.3,,,,,,,,0.972,,277.18,0.92,,,,,,,,,,,,,,,,,341.8414,,5.798264,,6.487722,6.1133413,2.2598126,2020,,277.18,0.6778266,0.10673353,4.03
1375,US-Ha2,42.5393,-72.1779,15428,9,18TYN,3/26/21 21:36,3/26/21,48:02.3,,,,,,,,0.912,,274.24,1.44,,,,,,,,,,,,,,,,,344.23242,,5.6351147,,6.410901,5.7916393,4.809436,2021,,274.24,0.72942895,0.087301224,1.09
1377,US-Ha2,42.5393,-72.1779,15489,10,18TYN,3/30/21 20:03,3/30/21,15:15.3,99.47554,0.8945187,,,2.204261,,89.6694,0.974,8.514742,286,0.72,335.90305,,204.97754,0.72267634,183.34045,0.04077093,0.23607117,0.4644537,481.85596,336.78503,0.21981312,0.8037859,139.12468,11.371545,0,,344.16684,,6.9376698,,7.5564833,7.0246515,5.7500772,2021,11.371545,286,0.64847386,0.10808246,12.85
